,city,REGION
0,tokyo,ASIA
1,jakarta,ASIA
2,delhi,ASIA
3,guangzhou,ASIA
4,mumbai,ASIA
5,manila,ASIA
6,shanghai,ASIA
7,são paulo,SOUTH AMERICA
8,seoul,ASIA
9,mexico city,NORTH AMERICA
10,kolkāta,ASIA
11,cairo,AFRICA
12,karachi,ASIA
13,dhaka,ASIA
14,new york,NORTH AMERICA
15,beijing,ASIA
16,bangkok,ASIA
17,shenzhen,ASIA
18,moscow,EUROPE
19,buenos aires,SOUTH AMERICA
20,lagos,AFRICA
21,bangalore,ASIA
22,ho chi minh city,ASIA
23,ōsaka,ASIA
24,chengdu,ASIA
25,istanbul,ASIA
26,tehran,ASIA
27,kinshasa,AFRICA
28,rio de janeiro,SOUTH AMERICA
29,chennai,ASIA
30,xi’an,ASIA
31,lahore,ASIA
32,chongqing,ASIA
33,los angeles,NORTH AMERICA
34,london,EUROPE
35,paris,EUROPE
36,linyi,ASIA
37,dongguan,ASIA
38,baoding,ASIA
39,hyderābād,ASIA
40,tianjin,ASIA
41,lima,SOUTH AMERICA
42,wuhan,ASIA
43,nanyang,ASIA
44,hangzhou,ASIA
45,nagoya,ASIA
46,luanda,AFRICA
47,foshan,ASIA
48,kuala lumpur,ASIA
49,zhoukou,ASIA
50,tongshan,ASIA
51,hanoi,ASIA
52,chicago,NORTH AMERICA
53,nanjing,ASIA
54,heze,ASIA
55,pune,ASIA
56,jining,ASIA
57,bogotá,SOUTH AMERICA
58,ahmedabad,ASIA
59,shenyang,ASIA
60,dar es salaam,AFRICA
61,khartoum,AFRICA
62,johannesburg,AFRICA
63,fuyang,ASIA
64,hong kong,ASIA
65,ganzhou,ASIA
66,shangqiu,ASIA
67,cangzhou,ASIA
68,riyadh,ASIA
69,santiago,SOUTH AMERICA
70,zhumadian,ASIA
71,zhanjiang,ASIA
72,rangoon,ASIA
73,yancheng,ASIA
74,bijie,ASIA
75,xingtai,ASIA
76,hengyang,ASIA
77,shaoyang,ASIA
78,surabaya,ASIA
79,sūrat,ASIA
80,quanzhou,ASIA
81,shangrao,ASIA
82,zunyi,ASIA
83,madrid,EUROPE
84,baghdad,ASIA
85,maoming,ASIA
86,miami,NORTH AMERICA
87,xinyang,ASIA
88,houston,NORTH AMERICA
89,singapore,ASIA
90,prayagraj,ASIA
91,huanggang,ASIA
92,dalian,ASIA
93,ankara,ASIA
94,dallas,NORTH AMERICA
95,qingdao,ASIA
96,yulin,ASIA
97,liaocheng,ASIA
98,douala,AFRICA
99,qujing,ASIA
100,nangandao,ASIA
101,addis ababa,AFRICA
102,philadelphia,NORTH AMERICA
103,toronto,NORTH AMERICA
104,zhengzhou,ASIA
105,nanchong,ASIA
106,jinan,ASIA
107,giza,AFRICA
108,saint petersburg,EUROPE
109,jieyang,ASIA
110,dezhou,ASIA
111,nairobi,AFRICA
112,guadalajara,NORTH AMERICA
113,tai’an,ASIA
114,dazhou,ASIA
115,belo horizonte,SOUTH AMERICA
116,suzhou,ASIA
117,monterrey,NORTH AMERICA
118,yongzhou,ASIA
119,changde,ASIA
120,xiangyang,ASIA
121,atlanta,NORTH AMERICA
122,pudong,ASIA
123,washington,NORTH AMERICA
124,zhaotong,ASIA
125,zhangzhou,ASIA
126,yueyang,ASIA
127,melbourne,OCEANIA
128,yichun,ASIA
129,abidjan,AFRICA
130,guilin,ASIA
131,pingdingshan,ASIA
132,alexandria,AFRICA
133,bozhou,ASIA
134,sydney,OCEANIA
135,barcelona,EUROPE
136,yuncheng,ASIA
137,cape town,AFRICA
138,changsha,ASIA
139,suqian,ASIA
140,jeddah,ASIA
141,weinan,ASIA
142,berlin,EUROPE
143,chenzhou,ASIA
144,jiangmen,ASIA
145,mianyang,ASIA
146,jiujiang,ASIA
147,huaihua,ASIA
148,huanglongsi,ASIA
149,taizhou,ASIA
150,belāhi,ASIA
151,yibin,ASIA
152,ji’an,ASIA
153,yangzhou,ASIA
154,kunming,ASIA
155,changchun,ASIA
156,lu’an,ASIA
157,xinpu,ASIA
158,langfang,ASIA
159,boston,NORTH AMERICA
160,ürümqi,ASIA
161,suzhou,ASIA
162,guigang,ASIA
163,shantou,ASIA
164,jiangguanchi,ASIA
165,kabul,ASIA
166,xiaoganzhan,ASIA
167,bamako,AFRICA
168,kano,AFRICA
169,luzhou,ASIA
170,hefei,ASIA
171,hengshui,ASIA
172,fortaleza,SOUTH AMERICA
173,anqing,ASIA
174,zhangjiakou,ASIA
175,zhaoqing,ASIA
176,shijiazhuang,ASIA
177,ningbo,ASIA
178,qiqihar,ASIA
179,phoenix,NORTH AMERICA
180,liuzhou,ASIA
181,chifeng,ASIA
182,xiaoxita,ASIA
183,amman,ASIA
184,linfen,ASIA
185,xianyang,ASIA
186,chuzhou,ASIA
187,kumasi,AFRICA
188,zhuzhou,ASIA
189,taiyuan,ASIA
190,qingyuan,ASIA
191,meizhou,ASIA
192,yiyang,ASIA
193,nanning,ASIA
194,harbin,ASIA
195,loudi,ASIA
196,abuja,AFRICA
197,yokohama,ASIA
198,suihua,ASIA
199,binzhou,ASIA
200,zaozhuang,ASIA
201,detroit,NORTH AMERICA
202,xiamen,ASIA
203,mashhad,ASIA
204,montréal,NORTH AMERICA
205,fuzhou,ASIA
206,wuhu,ASIA
207,medan,ASIA
208,yulinshi,ASIA
209,fuzhou,ASIA
210,wenzhou,ASIA
211,changzhou,ASIA
212,puyang,ASIA
